Product_Name,Year_Month,Warehouse_Inventory,Inventory_Cost_Per_Unit,Storage_Cost
Diamondback Boys' Insight 24 Performance Hybr,201704,0,0.45,0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201704,0,1.62,0
Stiga Master Series ST3100 Competition Indoor,201704,0,0.44,0
SOLE E35 Elliptical,201704,26,0.25,6.42
Bushnell Pro X7 Jolt Slope Rangefinder,201704,22,0.52,11.41
SOLE E25 Elliptical,201704,2,1.27,2.53
Bowflex SelectTech 1090 Dumbbells,201704,14,2.19,30.63
Perfect Fitness Perfect Rip Deck,201703,57,0.4,22.54
Nike Men's Dri-FIT Victory Golf Polo,201703,619,0.91,565.69
O'Brien Men's Neoprene Life Vest,201703,175,2.1,367.12
Nike Men's Free 5.0+ Running Shoe,201703,97,0.24,23.42
Under Armour Girls' Toddler Spine Surge Runni,201703,176,0.2,34.95
Nike Men's CJ Elite 2 TD Football Cleat,201703,101,0.22,22.1
Field & Stream Sportsman 16 Gun Fire Safe,201703,91,1.12,102.33
Pelican Sunstream 100 Kayak,201703,100,1.54,153.91
Diamondback Women's Serene Classic Comfort Bi,201703,11,0.16,1.78
ENO Atlas Hammock Straps,201703,3,0.17,0.52
Nike Men's Comfort 2 Slide,201703,6,1.28,7.67
adidas Youth Germany Black/Red Away Match Soc,201703,10,0.45,4.5
Team Golf St. Louis Cardinals Putter Grip,201703,2,0.18,0.36
LIJA Women's Eyelet Sleeveless Golf Polo,201703,3,1.03,3.1
adidas Men's F10 Messi TRX FG Soccer Cleat,201703,11,2.16,23.79
Glove It Women's Imperial Golf Glove,201703,1,1.38,1.38
Glove It Imperial Golf Towel,201703,8,1.06,8.5
Bridgestone e6 Straight Distance NFL Carolina,201703,5,0.34,1.71
Glove It Women's Mod Oval 3-Zip Carry All Gol,201703,10,1.03,10.3
Columbia Men's PFG Anchor Tough T-Shirt,201703,26,1.32,34.23
Under Armour Women's Ignite Slide,201703,4,0.15,0.59
Team Golf Tennessee Volunteers Putter Grip,201703,3,0.43,1.28
Titleist Pro V1x High Numbers Personalized Go,201703,0,2.16,0
Nike Men's Deutschland Weltmeister Winners Bl,201703,1,1.17,1.17
Bridgestone e6 Straight Distance NFL San Dieg,201703,3,0.33,1
Nike Women's Tempo Shorts,201703,2,1.7,3.39
Team Golf Texas Longhorns Putter Grip,201703,0,0.13,0
Hirzl Women's Soffft Flex Golf Glove,201703,5,2.12,10.6
Clicgear 8.0 Shoe Brush,201703,3,0.82,2.47
Hirzl Women's Hybrid Golf Glove,201703,4,1.94,7.76
Team Golf Pittsburgh Steelers Putter Grip,201703,1,1.29,1.29
Top Flite Women's 2017 XL Hybrid,201703,0,1.27,0
Glove It Urban Brick Golf Towel,201703,6,2.13,12.77
Nike Dri-FIT Crew Sock 6 Pack,201703,3,1.39,4.17
TYR Boys' Team Digi Jammer,201703,4,0.97,3.86
Team Golf San Francisco Giants Putter Grip,201703,15,2.11,31.68
Clicgear Rovic Cooler Bag,201703,14,0.31,4.33
Hirzl Men's Hybrid Golf Glove,201703,0,2.33,0
Titleist Pro V1x Golf Balls,201703,18,2.25,40.47
adidas Men's Germany Black Crest Away Tee,201703,9,1.76,15.81
Titleist Pro V1 High Numbers Personalized Gol,201703,1,0.26,0.26
Under Armour Women's Micro G Skulpt Running S,201703,10,2.14,21.44
Under Armour Hustle Storm Medium Duffle Bag,201703,1,1.46,1.46
Under Armour Women's Ignite PIP VI Slide,201703,0,0.3,0
Bag Boy Beverage Holder,201703,11,1.19,13.12
Under Armour Men's Tech II T-Shirt,201703,19,0.5,9.55
Team Golf New England Patriots Putter Grip,201703,3,0.8,2.41
Under Armour Men's Compression EV SL Slide,201703,6,2.29,13.72
Bridgestone e6 Straight Distance NFL Tennesse,201703,2,1.24,2.49
Glove It Women's Mod Oval Golf Glove,201703,0,0.93,0
Titleist Pro V1x High Numbers Golf Balls,201703,14,1.66,23.25
Nike Women's Legend V-Neck T-Shirt,201703,5,2.09,10.45
Under Armour Kids' Mercenary Slide,201703,0,1.15,0
adidas Kids' F5 Messi FG Soccer Cleat,201703,1,1.37,1.37
Children's heaters,201703,0,1.51,0
Web Camera,201703,0,1.38,0
Dell Laptop,201703,5,2.05,10.24
Porcelain crafts,201703,0,0.71,0
Sports Books,201703,0,0.71,0
DVDs,201703,0,1.48,0
Industrial consumer electronics,201703,0,0.5,0
Fighting video games,201703,0,0.87,0
Summer dresses,201703,0,0.21,0
Lawn mower,201703,0,1.07,0
Adult dog supplies,201703,0,1.4,0
Rock music,201703,0,0.18,0
Elevation Training Mask 2.0,201703,0,0.37,0
LIJA Women's Mid-Length Panel Golf Shorts,201703,0,2.02,0
Toys,201703,0,1.81,0
Brooks Women's Ghost 6 Running Shoe,201703,0,1.43,0
Bag Boy M330 Push Cart,201703,9,1.77,15.93
Merrell Women's Grassbow Sport Hiking Shoe,201703,0,1.34,0
Nike Men's Free TR 5.0 TB Training Shoe,201703,0,1.8,0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201703,6,0.31,1.87
First aid kit,201703,0,1.53,0
CDs of rock,201703,0,2.2,0
Polar FT4 Heart Rate Monitor,201703,0,1.46,0
LIJA Women's Argyle Golf Polo,201703,0,1.32,0
TaylorMade White Smoke IN-12 Putter,201703,0,1.04,0
Fitbit The One Wireless Activity & Sleep Trac,201703,2,1.53,3.06
Nike Kids' Grade School KD VI Basketball Shoe,201703,0,1.71,0
The North Face Women's Recon Backpack,201703,0,0.22,0
Smart watch,201703,0,2.33,0
Baby sweater,201703,0,2.25,0
MDGolf Pittsburgh Penguins Putter,201703,0,0.69,0
Men's gala suit,201703,0,0.38,0
Merrell Men's All Out Flash Trail Running Sho,201703,0,0.17,0
Garmin Approach S3 Golf GPS Watch,201703,0,2.02,0
LIJA Women's Button Golf Dress,201703,0,2.3,0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201703,0,0.51,0
Merrell Women's Siren Mid Waterproof Hiking B,201703,0,0.28,0
TaylorMade Women's RBZ SL Rescue,201703,0,2.04,0
Mio ALPHA Heart Rate Monitor/Sport Watch,201703,0,1.16,0
TaylorMade 2017 Purelite Stand Bag,201703,0,1.27,0
Cleveland Golf Collegiate My Custom Wedge 588,201703,0,0.54,0
adidas Brazuca 2017 Official Match Ball,201703,0,2.01,0
Nike Men's Fingertrap Max Training Shoe,201703,0,0.57,0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201703,0,1.42,0
Nike Men's Kobe IX Elite Low Basketball Shoe,201703,0,1.88,0
Ogio Race Golf Shoes,201703,0,2.13,0
insta-bed Neverflat Air Mattress,201703,0,1.68,0
GolfBuddy VT3 GPS Watch,201703,0,0.6,0
Merrell Women's Grassbow Sport Waterproof Hik,201703,0,1.26,0
Titleist Small Wheeled Travel Cover,201703,2,1.96,3.93
Polar Loop Activity Tracker,201703,0,1.77,0
Pelican Maverick 100X Kayak,201703,0,0.24,0
Garmin Approach S4 Golf GPS Watch,201703,0,2.09,0
Total Gym 1400,201703,0,1.12,0
Garmin Forerunner 910XT GPS Watch,201703,0,1.36,0
Titleist Club Glove Travel Cover,201703,0,2.13,0
GoPro HERO3+ Black Edition Camera,201703,0,1.01,0
Diamondback Boys' Insight 24 Performance Hybr,201703,0,1.25,0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201703,0,0.48,0
Stiga Master Series ST3100 Competition Indoor,201703,0,1.81,0
SOLE E35 Elliptical,201703,16,2.02,32.28
Bushnell Pro X7 Jolt Slope Rangefinder,201703,6,0.55,3.32
SOLE E25 Elliptical,201703,23,1.49,34.25
Bowflex SelectTech 1090 Dumbbells,201703,26,1.17,30.3
Perfect Fitness Perfect Rip Deck,201702,679,0.92,623.96
Nike Men's Dri-FIT Victory Golf Polo,201702,302,1.65,496.95
O'Brien Men's Neoprene Life Vest,201702,189,1.8,340.09
Nike Men's Free 5.0+ Running Shoe,201702,147,0.34,50.68
Under Armour Girls' Toddler Spine Surge Runni,201702,235,0.13,29.44
Nike Men's CJ Elite 2 TD Football Cleat,201702,99,1.45,143.17
Field & Stream Sportsman 16 Gun Fire Safe,201702,91,0.68,62.06
Pelican Sunstream 100 Kayak,201702,105,0.27,28.04
Diamondback Women's Serene Classic Comfort Bi,201702,81,1.99,161.17
ENO Atlas Hammock Straps,201702,0,1.74,0
Nike Men's Comfort 2 Slide,201702,4,0.92,3.69
adidas Youth Germany Black/Red Away Match Soc,201702,3,0.36,1.07
Team Golf St. Louis Cardinals Putter Grip,201702,0,1.83,0
LIJA Women's Eyelet Sleeveless Golf Polo,201702,14,2.3,32.15
adidas Men's F10 Messi TRX FG Soccer Cleat,201702,5,1.52,7.58
Glove It Women's Imperial Golf Glove,201702,0,0.34,0
Glove It Imperial Golf Towel,201702,0,0.5,0
Bridgestone e6 Straight Distance NFL Carolina,201702,8,1.84,14.75
Glove It Women's Mod Oval 3-Zip Carry All Gol,201702,0,0.59,0
Columbia Men's PFG Anchor Tough T-Shirt,201702,8,0.6,4.81
Under Armour Women's Ignite Slide,201702,0,2.06,0
Team Golf Tennessee Volunteers Putter Grip,201702,8,1.67,13.32
Titleist Pro V1x High Numbers Personalized Go,201702,0,0.52,0
Nike Men's Deutschland Weltmeister Winners Bl,201702,0,1.63,0
Bridgestone e6 Straight Distance NFL San Dieg,201702,3,1.71,5.14
Nike Women's Tempo Shorts,201702,0,0.92,0
Team Golf Texas Longhorns Putter Grip,201702,6,0.23,1.38
Hirzl Women's Soffft Flex Golf Glove,201702,4,0.65,2.62
Clicgear 8.0 Shoe Brush,201702,0,1.33,0
Hirzl Women's Hybrid Golf Glove,201702,2,1.23,2.46
Team Golf Pittsburgh Steelers Putter Grip,201702,1,0.83,0.83
Top Flite Women's 2017 XL Hybrid,201702,21,2.14,44.89
Glove It Urban Brick Golf Towel,201702,7,1.63,11.39
Nike Dri-FIT Crew Sock 6 Pack,201702,2,0.91,1.81
TYR Boys' Team Digi Jammer,201702,7,0.89,6.24
Team Golf San Francisco Giants Putter Grip,201702,2,1.51,3.01
Clicgear Rovic Cooler Bag,201702,1,0.58,0.58
Hirzl Men's Hybrid Golf Glove,201702,12,1.99,23.94
Titleist Pro V1x Golf Balls,201702,11,1.57,17.23
adidas Men's Germany Black Crest Away Tee,201702,22,1.5,33.04
Titleist Pro V1 High Numbers Personalized Gol,201702,11,1.33,14.68
Under Armour Women's Micro G Skulpt Running S,201702,6,1.34,8.06
Under Armour Hustle Storm Medium Duffle Bag,201702,4,0.12,0.49
Under Armour Women's Ignite PIP VI Slide,201702,4,1.48,5.93
Bag Boy Beverage Holder,201702,0,1.26,0
Under Armour Men's Tech II T-Shirt,201702,14,0.43,6.08
Team Golf New England Patriots Putter Grip,201702,2,1.88,3.75
Under Armour Men's Compression EV SL Slide,201702,0,1.54,0
Bridgestone e6 Straight Distance NFL Tennesse,201702,1,1.51,1.51
Glove It Women's Mod Oval Golf Glove,201702,23,1.21,27.82
Titleist Pro V1x High Numbers Golf Balls,201702,0,2.24,0
Nike Women's Legend V-Neck T-Shirt,201702,9,2.24,20.13
Under Armour Kids' Mercenary Slide,201702,2,0.88,1.77
adidas Kids' F5 Messi FG Soccer Cleat,201702,3,1.57,4.71
Children's heaters,201702,0,1.74,0
Web Camera,201702,0,2.34,0
Dell Laptop,201702,39,1.13,44.25
Porcelain crafts,201702,0,2.24,0
Sports Books,201702,0,1.36,0
DVDs,201702,0,1.54,0
Industrial consumer electronics,201702,0,2.18,0
Fighting video games,201702,0,0.7,0
Summer dresses,201702,0,0.2,0
Lawn mower,201702,0,2.1,0
Adult dog supplies,201702,0,1.39,0
Rock music,201702,0,1.61,0
Elevation Training Mask 2.0,201702,0,1.37,0
LIJA Women's Mid-Length Panel Golf Shorts,201702,0,1.19,0
Toys,201702,0,1.23,0
Brooks Women's Ghost 6 Running Shoe,201702,0,0.95,0
Bag Boy M330 Push Cart,201702,0,0.86,0
Merrell Women's Grassbow Sport Hiking Shoe,201702,0,1.32,0
Nike Men's Free TR 5.0 TB Training Shoe,201702,0,2.28,0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201702,0,1.51,0
First aid kit,201702,0,1.2,0
CDs of rock,201702,0,0.38,0
Polar FT4 Heart Rate Monitor,201702,0,1.33,0
LIJA Women's Argyle Golf Polo,201702,0,1.38,0
TaylorMade White Smoke IN-12 Putter,201702,0,0.94,0
Fitbit The One Wireless Activity & Sleep Trac,201702,2,1,2
Nike Kids' Grade School KD VI Basketball Shoe,201702,0,1.78,0
The North Face Women's Recon Backpack,201702,0,0.47,0
Smart watch,201702,0,0.82,0
Baby sweater,201702,0,1.6,0
MDGolf Pittsburgh Penguins Putter,201702,0,1.87,0
Men's gala suit,201702,0,0.27,0
Merrell Men's All Out Flash Trail Running Sho,201702,0,1.5,0
Garmin Approach S3 Golf GPS Watch,201702,0,0.12,0
LIJA Women's Button Golf Dress,201702,0,0.68,0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201702,0,0.73,0
Merrell Women's Siren Mid Waterproof Hiking B,201702,1,1.04,1.04
TaylorMade Women's RBZ SL Rescue,201702,0,2.12,0
Mio ALPHA Heart Rate Monitor/Sport Watch,201702,0,1.25,0
TaylorMade 2017 Purelite Stand Bag,201702,0,1.08,0
Cleveland Golf Collegiate My Custom Wedge 588,201702,0,1.55,0
adidas Brazuca 2017 Official Match Ball,201702,0,2.34,0
Nike Men's Fingertrap Max Training Shoe,201702,0,2.25,0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201702,0,0.8,0
Nike Men's Kobe IX Elite Low Basketball Shoe,201702,0,1.05,0
Ogio Race Golf Shoes,201702,0,1.21,0
insta-bed Neverflat Air Mattress,201702,0,0.67,0
GolfBuddy VT3 GPS Watch,201702,0,1.13,0
Merrell Women's Grassbow Sport Waterproof Hik,201702,0,2.34,0
Titleist Small Wheeled Travel Cover,201702,0,0.89,0
Polar Loop Activity Tracker,201702,0,2.18,0
Pelican Maverick 100X Kayak,201702,0,2.2,0
Garmin Approach S4 Golf GPS Watch,201702,0,0.54,0
Total Gym 1400,201702,0,1.84,0
Garmin Forerunner 910XT GPS Watch,201702,0,1.2,0
Titleist Club Glove Travel Cover,201702,0,2.25,0
GoPro HERO3+ Black Edition Camera,201702,0,0.86,0
Diamondback Boys' Insight 24 Performance Hybr,201702,0,0.19,0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201702,0,1.8,0
Stiga Master Series ST3100 Competition Indoor,201702,0,1.4,0
SOLE E35 Elliptical,201702,13,1.92,24.91
Bushnell Pro X7 Jolt Slope Rangefinder,201702,2,0.32,0.63
SOLE E25 Elliptical,201702,36,1.16,41.6
Bowflex SelectTech 1090 Dumbbells,201702,33,1.67,55.15
Perfect Fitness Perfect Rip Deck,201701,529,0.53,279.45
Nike Men's Dri-FIT Victory Golf Polo,201701,13,2.27,29.5
O'Brien Men's Neoprene Life Vest,201701,491,0.67,329.47
Nike Men's Free 5.0+ Running Shoe,201701,17,0.27,4.6
Under Armour Girls' Toddler Spine Surge Runni,201701,222,0.28,61.27
Nike Men's CJ Elite 2 TD Football Cleat,201701,188,0.76,142.4
Field & Stream Sportsman 16 Gun Fire Safe,201701,32,1.35,43.07
Pelican Sunstream 100 Kayak,201701,104,1.41,146.18
Diamondback Women's Serene Classic Comfort Bi,201701,15,1.31,19.64
ENO Atlas Hammock Straps,201701,12,2.04,24.51
Nike Men's Comfort 2 Slide,201701,1,1.3,1.3
adidas Youth Germany Black/Red Away Match Soc,201701,0,1.13,0
Team Golf St. Louis Cardinals Putter Grip,201701,0,2.11,0
LIJA Women's Eyelet Sleeveless Golf Polo,201701,9,1.16,10.42
adidas Men's F10 Messi TRX FG Soccer Cleat,201701,0,2.33,0
Glove It Women's Imperial Golf Glove,201701,23,1.43,32.8
Glove It Imperial Golf Towel,201701,6,0.89,5.35
Bridgestone e6 Straight Distance NFL Carolina,201701,1,1.78,1.78
Glove It Women's Mod Oval 3-Zip Carry All Gol,201701,6,0.86,5.15
Columbia Men's PFG Anchor Tough T-Shirt,201701,0,1.1,0
Under Armour Women's Ignite Slide,201701,0,1.55,0
Team Golf Tennessee Volunteers Putter Grip,201701,7,1.06,7.39
Titleist Pro V1x High Numbers Personalized Go,201701,10,0.51,5.08
Nike Men's Deutschland Weltmeister Winners Bl,201701,9,0.26,2.38
Bridgestone e6 Straight Distance NFL San Dieg,201701,6,1.83,10.98
Nike Women's Tempo Shorts,201701,1,0.78,0.78
Team Golf Texas Longhorns Putter Grip,201701,1,1.33,1.33
Hirzl Women's Soffft Flex Golf Glove,201701,21,0.37,7.69
Clicgear 8.0 Shoe Brush,201701,1,1.61,1.61
Hirzl Women's Hybrid Golf Glove,201701,0,0.73,0
Team Golf Pittsburgh Steelers Putter Grip,201701,1,0.95,0.95
Top Flite Women's 2017 XL Hybrid,201701,0,0.49,0
Glove It Urban Brick Golf Towel,201701,2,1.99,3.98
Nike Dri-FIT Crew Sock 6 Pack,201701,4,0.81,3.24
TYR Boys' Team Digi Jammer,201701,1,2.09,2.09
Team Golf San Francisco Giants Putter Grip,201701,0,1.19,0
Clicgear Rovic Cooler Bag,201701,7,1.06,7.42
Hirzl Men's Hybrid Golf Glove,201701,6,0.11,0.67
Titleist Pro V1x Golf Balls,201701,0,0.45,0
adidas Men's Germany Black Crest Away Tee,201701,3,1.79,5.36
Titleist Pro V1 High Numbers Personalized Gol,201701,0,0.67,0
Under Armour Women's Micro G Skulpt Running S,201701,5,0.53,2.64
Under Armour Hustle Storm Medium Duffle Bag,201701,12,1.45,17.43
Under Armour Women's Ignite PIP VI Slide,201701,0,1.8,0
Bag Boy Beverage Holder,201701,0,0.31,0
Under Armour Men's Tech II T-Shirt,201701,17,1.45,24.69
Team Golf New England Patriots Putter Grip,201701,0,1.51,0
Under Armour Men's Compression EV SL Slide,201701,9,1.89,16.99
Bridgestone e6 Straight Distance NFL Tennesse,201701,6,0.41,2.49
Glove It Women's Mod Oval Golf Glove,201701,14,2.25,31.43
Titleist Pro V1x High Numbers Golf Balls,201701,2,0.8,1.59
Nike Women's Legend V-Neck T-Shirt,201701,2,0.72,1.44
Under Armour Kids' Mercenary Slide,201701,0,1.44,0
adidas Kids' F5 Messi FG Soccer Cleat,201701,10,1.48,14.82
Children's heaters,201701,0,2.04,0
Web Camera,201701,0,2.04,0
Dell Laptop,201701,15,0.58,8.72
Porcelain crafts,201701,0,0.69,0
Sports Books,201701,0,2.32,0
DVDs,201701,0,1.77,0
Industrial consumer electronics,201701,0,1.72,0
Fighting video games,201701,0,2.08,0
Summer dresses,201701,0,0.65,0
Lawn mower,201701,0,0.19,0
Adult dog supplies,201701,0,0.21,0
Rock music,201701,0,0.38,0
Elevation Training Mask 2.0,201701,0,0.92,0
LIJA Women's Mid-Length Panel Golf Shorts,201701,0,0.42,0
Toys,201701,0,2.1,0
Brooks Women's Ghost 6 Running Shoe,201701,0,0.77,0
Bag Boy M330 Push Cart,201701,0,1.75,0
Merrell Women's Grassbow Sport Hiking Shoe,201701,0,1.47,0
Nike Men's Free TR 5.0 TB Training Shoe,201701,0,1.73,0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201701,0,0.75,0
First aid kit,201701,0,1.32,0
CDs of rock,201701,0,1.27,0
Polar FT4 Heart Rate Monitor,201701,0,2.07,0
LIJA Women's Argyle Golf Polo,201701,0,0.32,0
TaylorMade White Smoke IN-12 Putter,201701,0,1.3,0
Fitbit The One Wireless Activity & Sleep Trac,201701,0,2.12,0
Nike Kids' Grade School KD VI Basketball Shoe,201701,0,2.12,0
The North Face Women's Recon Backpack,201701,0,1.05,0
Smart watch,201701,0,1.87,0
Baby sweater,201701,0,0.23,0
MDGolf Pittsburgh Penguins Putter,201701,0,2,0
Men's gala suit,201701,0,1.45,0
Merrell Men's All Out Flash Trail Running Sho,201701,1,0.31,0.31
Garmin Approach S3 Golf GPS Watch,201701,0,2,0
LIJA Women's Button Golf Dress,201701,0,0.13,0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201701,0,1.9,0
Merrell Women's Siren Mid Waterproof Hiking B,201701,0,1.88,0
TaylorMade Women's RBZ SL Rescue,201701,0,0.67,0
Mio ALPHA Heart Rate Monitor/Sport Watch,201701,1,0.84,0.84
TaylorMade 2017 Purelite Stand Bag,201701,0,0.74,0
Cleveland Golf Collegiate My Custom Wedge 588,201701,0,2.09,0
adidas Brazuca 2017 Official Match Ball,201701,0,1.81,0
Nike Men's Fingertrap Max Training Shoe,201701,0,1.96,0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201701,0,0.49,0
Nike Men's Kobe IX Elite Low Basketball Shoe,201701,1,1.08,1.08
Ogio Race Golf Shoes,201701,0,0.12,0
insta-bed Neverflat Air Mattress,201701,0,0.82,0
GolfBuddy VT3 GPS Watch,201701,0,1.31,0
Merrell Women's Grassbow Sport Waterproof Hik,201701,0,1.38,0
Titleist Small Wheeled Travel Cover,201701,0,0.98,0
Polar Loop Activity Tracker,201701,0,0.81,0
Pelican Maverick 100X Kayak,201701,0,1.02,0
Garmin Approach S4 Golf GPS Watch,201701,0,1.65,0
Total Gym 1400,201701,0,1.41,0
Garmin Forerunner 910XT GPS Watch,201701,0,1.4,0
Titleist Club Glove Travel Cover,201701,0,0.33,0
GoPro HERO3+ Black Edition Camera,201701,0,2.2,0
Diamondback Boys' Insight 24 Performance Hybr,201701,0,0.78,0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201701,0,0.49,0
Stiga Master Series ST3100 Competition Indoor,201701,0,1.71,0
SOLE E35 Elliptical,201701,9,0.23,2.1
Bushnell Pro X7 Jolt Slope Rangefinder,201701,1,2.16,2.16
SOLE E25 Elliptical,201701,37,1.64,60.77
Bowflex SelectTech 1090 Dumbbells,201701,16,1.75,28.06
Perfect Fitness Perfect Rip Deck,201612,674,0.36,245.22
Nike Men's Dri-FIT Victory Golf Polo,201612,471,1.47,690.36
O'Brien Men's Neoprene Life Vest,201612,460,0.47,215.91
Nike Men's Free 5.0+ Running Shoe,201612,352,0.7,245.33
Under Armour Girls' Toddler Spine Surge Runni,201612,124,0.64,78.79
Nike Men's CJ Elite 2 TD Football Cleat,201612,119,1.36,161.8
Field & Stream Sportsman 16 Gun Fire Safe,201612,128,0.83,106.25
Pelican Sunstream 100 Kayak,201612,81,0.9,73.01
Diamondback Women's Serene Classic Comfort Bi,201612,87,0.87,75.97
ENO Atlas Hammock Straps,201612,5,1.93,9.66
Nike Men's Comfort 2 Slide,201612,3,0.74,2.22
adidas Youth Germany Black/Red Away Match Soc,201612,0,1.75,0
Team Golf St. Louis Cardinals Putter Grip,201612,5,1.9,9.51
LIJA Women's Eyelet Sleeveless Golf Polo,201612,10,1.01,10.12
adidas Men's F10 Messi TRX FG Soccer Cleat,201612,9,1.47,13.22
Glove It Women's Imperial Golf Glove,201612,17,1.16,19.77
Glove It Imperial Golf Towel,201612,3,1.08,3.24
Bridgestone e6 Straight Distance NFL Carolina,201612,4,1.15,4.61
Glove It Women's Mod Oval 3-Zip Carry All Gol,201612,17,1.38,23.41
Columbia Men's PFG Anchor Tough T-Shirt,201612,9,1.41,12.73
Under Armour Women's Ignite Slide,201612,24,0.57,13.62
Team Golf Tennessee Volunteers Putter Grip,201612,8,2.04,16.33
Titleist Pro V1x High Numbers Personalized Go,201612,3,1.98,5.93
Nike Men's Deutschland Weltmeister Winners Bl,201612,16,0.45,7.13
Bridgestone e6 Straight Distance NFL San Dieg,201612,9,2.14,19.26
Nike Women's Tempo Shorts,201612,3,1.65,4.95
Team Golf Texas Longhorns Putter Grip,201612,4,0.36,1.43
Hirzl Women's Soffft Flex Golf Glove,201612,0,1.98,0
Clicgear 8.0 Shoe Brush,201612,0,0.91,0
Hirzl Women's Hybrid Golf Glove,201612,9,0.12,1.1
Team Golf Pittsburgh Steelers Putter Grip,201612,0,1.07,0
Top Flite Women's 2017 XL Hybrid,201612,8,0.41,3.27
Glove It Urban Brick Golf Towel,201612,3,1.85,5.56
Nike Dri-FIT Crew Sock 6 Pack,201612,1,0.59,0.59
TYR Boys' Team Digi Jammer,201612,1,1.21,1.21
Team Golf San Francisco Giants Putter Grip,201612,0,0.67,0
Clicgear Rovic Cooler Bag,201612,0,1.21,0
Hirzl Men's Hybrid Golf Glove,201612,6,0.48,2.9
Titleist Pro V1x Golf Balls,201612,8,0.2,1.61
adidas Men's Germany Black Crest Away Tee,201612,5,0.34,1.71
Titleist Pro V1 High Numbers Personalized Gol,201612,0,1.07,0
Under Armour Women's Micro G Skulpt Running S,201612,1,1.55,1.55
Under Armour Hustle Storm Medium Duffle Bag,201612,6,0.67,4.03
Under Armour Women's Ignite PIP VI Slide,201612,0,2.02,0
Bag Boy Beverage Holder,201612,0,1.66,0
Under Armour Men's Tech II T-Shirt,201612,8,0.58,4.63
Team Golf New England Patriots Putter Grip,201612,8,0.65,5.17
Under Armour Men's Compression EV SL Slide,201612,1,0.37,0.37
Bridgestone e6 Straight Distance NFL Tennesse,201612,0,2.07,0
Glove It Women's Mod Oval Golf Glove,201612,9,1.2,10.83
Titleist Pro V1x High Numbers Golf Balls,201612,1,1.26,1.26
Nike Women's Legend V-Neck T-Shirt,201612,14,2.25,31.48
Under Armour Kids' Mercenary Slide,201612,1,0.71,0.71
adidas Kids' F5 Messi FG Soccer Cleat,201612,7,1.03,7.21
Children's heaters,201612,0,0.85,0
Web Camera,201612,0,0.34,0
Dell Laptop,201612,11,1.96,21.54
Porcelain crafts,201612,0,0.38,0
Sports Books,201612,0,1.89,0
DVDs,201612,0,2.02,0
Industrial consumer electronics,201612,0,1.24,0
Fighting video games,201612,0,0.5,0
Summer dresses,201612,0,0.64,0
Lawn mower,201612,0,1.37,0
Adult dog supplies,201612,0,1.93,0
Rock music,201612,0,0.91,0
Elevation Training Mask 2.0,201612,0,1.93,0
LIJA Women's Mid-Length Panel Golf Shorts,201612,0,2.29,0
Toys,201612,0,0.88,0
Brooks Women's Ghost 6 Running Shoe,201612,0,0.65,0
Bag Boy M330 Push Cart,201612,0,1.65,0
Merrell Women's Grassbow Sport Hiking Shoe,201612,0,0.3,0
Nike Men's Free TR 5.0 TB Training Shoe,201612,0,1.93,0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201612,0,0.12,0
First aid kit,201612,0,1.91,0
CDs of rock,201612,0,0.57,0
Polar FT4 Heart Rate Monitor,201612,0,1.66,0
LIJA Women's Argyle Golf Polo,201612,0,0.87,0
TaylorMade White Smoke IN-12 Putter,201612,0,2.14,0
Fitbit The One Wireless Activity & Sleep Trac,201612,1,2.25,2.25
Nike Kids' Grade School KD VI Basketball Shoe,201612,0,0.95,0
The North Face Women's Recon Backpack,201612,0,0.53,0
Smart watch,201612,0,1.9,0
Baby sweater,201612,0,0.36,0
MDGolf Pittsburgh Penguins Putter,201612,0,0.58,0
Men's gala suit,201612,0,0.88,0
Merrell Men's All Out Flash Trail Running Sho,201612,0,1.32,0
Garmin Approach S3 Golf GPS Watch,201612,0,0.28,0
LIJA Women's Button Golf Dress,201612,0,1.52,0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201612,0,0.66,0
Merrell Women's Siren Mid Waterproof Hiking B,201612,0,1,0
TaylorMade Women's RBZ SL Rescue,201612,0,0.81,0
Mio ALPHA Heart Rate Monitor/Sport Watch,201612,0,0.61,0
TaylorMade 2017 Purelite Stand Bag,201612,0,0.55,0
Cleveland Golf Collegiate My Custom Wedge 588,201612,0,1.99,0
adidas Brazuca 2017 Official Match Ball,201612,0,0.63,0
Nike Men's Fingertrap Max Training Shoe,201612,0,1.4,0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201612,0,0.34,0
Nike Men's Kobe IX Elite Low Basketball Shoe,201612,0,1.08,0
Ogio Race Golf Shoes,201612,0,0.66,0
